Sl. No,Event,Month,Date,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome
1082,Dilma Rousseff's Impeachment,8,2016-08-31,31,August,2016,Brazil,Political,Brazil,Second Brazilian president to be impeached accused of fiscal mismanagement,Brazilian population,Unknown,Mixed
56,GST (Goods and Services Tax) Implementation,7,2017-07-01,1,July,2017,India,Economic Reform,Nationwide,"Unified the country's tax system, replacing multiple indirect taxes with a single tax","Businesses, consumers",Government of India,Positive
98,Panama Papers Case & Disqualification of PM Nawaz Sharif,7,2017-07-28,28,July,2017,Pakistan,Political Corruption,Islamabad,Led to the disqualification of Prime Minister Nawaz Sharif from holding public office.,Pakistani citizens,Supreme Court of Pakistan,Mixed
352,SameUnknownSex Marriage Legalization,12,2017-12-07,7,December,2017,Australia,Legal/Social,Australia,"Legalized sameUnknownsex marriage, marking a significant advancement in LGBTQ+ rights.",LGBTQ+ Australians,Australian Parliament,Positive
431,THAAD Deployment Controversy,Unknown,Unknown,Unknown,Unknown,2017,South Korea,Military/Political,Seongju County,"Deployment of the US THAAD missile defense system, sparking domestic protests and tensions with China.","South Korean citizens, China","Moon JaeUnknownin, US government",Negative
450,Vietnam Hosts APEC Summit,11,2017-11-06,6,November,2017,Vietnam,International Summit,Da Nang,"Hosted leaders from the AsiaUnknownPacific region, showcasing Vietnam's role on the international stage.","Global leaders, Vietnamese people",Government of Vietnam,Positive
455,Typhoon Damrey Strikes Vietnam,11,2017-11-04,4,November,2017,Vietnam,Natural Disaster,Vietnam,"One of the deadliest typhoons to hit Vietnam in decades, causing significant damage and loss of life.",Residents of affected areas,Unknown,Negative
511,AntiUnknownCorruption Campaign,11,2017-11-04,4,November,2017,Saudi Arabia,Political Action,Riyadh,"HighUnknownprofile arrests for corruption, signaling power consolidation by Crown Prince Mohammed bin Salman.",Saudi elites,Mohammed bin Salman,Mixed
514,RitzUnknownCarlton Riyadh Detentions,11,2017-11-04,4,November,2017,Saudi Arabia,AntiUnknownCorruption Effort,Riyadh,"Prominent figures were detained in an antiUnknowncorruption crackdown, seen as consolidating power around the Crown Prince.",Saudi elites,Mohammed bin Salman,Mixed
628,Currency Convertibility Introduced,Unknown,Unknown,Unknown,Unknown,2017,Uzbekistan,Economic Policy,Uzbekistan,Introduction of currency convertibility to boost investment and economic liberalization.,Uzbek citizens,Shavkat Mirziyoyev,Positive
673,USUnknownMexico Border Wall Expansion,Unknown,Unknown,Unknown,Unknown,2017,USA,Political/Infrastructure,USUnknownMexico Border,Controversial project aimed at curbing illegal immigration and trafficking.,"Migrants, American citizens",Donald Trump,Mixed
675,#MeToo Movement,Unknown,Unknown,Unknown,Unknown,2017,USA,Social Movement,Nationwide,"Movement against sexual harassment and assault, sparking global conversations.","Survivors, general public","Tarana Burke, Alyssa Milano",Positive
688,Charlottesville Rally and Violence,8,2017-08-12,12,August,2017,USA,Social Unrest,"Charlottesville, VA",Highlighted racial tensions and sparked national debate on hate groups.,"General public, activists","White supremacists, counterprotesters",Negative
689,US Recognition of Jerusalem as Israel's Capital,12,2017-12-06,6,December,2017,USA,International Policy,International,"Shifted US foreign policy, leading to global reactions and tensions.",International community,"Donald Trump, Israeli government",Mixed
792,Grenfell Tower Fire,6,2017-06-14,14,June,2017,UK,Disaster,London,Deadly fire causing significant loss of life and raising safety concerns,London's population,Local authorities,Negative
913,Catalan Independence Referendum,10,2017-10-01,1,October,2017,Spain,Political/Secession,Catalonia,Intensified national debate on regional independence,"Catalan population, Spanish population","Catalan Government, Spanish Government",Negative
1052,Coup d'état Leads to Mugabe's Resignation,11,2017-11-21,21,November,2017,Zimbabwe,Coup,"Harare, Zimbabwe","Ended Robert Mugabe's 37Unknownyear rule, Emmerson Mnangagwa became president.",Zimbabweans,"Zimbabwean Military, Emmerson Mnangagwa",Mixed
24,India's First Hyperloop Project Announcement,2,Unknown,Unknown,February,2018,India,Infrastructure,Maharashtra,Proposal for highUnknownspeed transportation system,Potential commuters,"Virgin Hyperloop One, State Government",Positive
38,Statue of Unity Unveiled,10,2018-10-31,31,October,2018,India,Cultural/Political,Gujarat,"Became the world's tallest statue, symbolizing unity",Indian citizens,Government of India,Positive
51,Decriminalisation of Section 377,9,2018-09-06,6,September,2018,India,Legal,Nationwide,"Landmark judgement for LGBTQ+ rights in India, decriminalizing homosexuality",LGBTQ+ community,Supreme Court of India,Positive
100,FATF Grey List,Invalid,Unknown,Unknown,Unknown,2018,Pakistan,International Finance,"Paris, France",Pakistan placed on the 'grey list' by the Financial Action Task Force for terror financing and money laundering risks.,Pakistani economy,Financial Action Task Force (FATF),Negative
101,Imran Khan Elected as Prime Minister,8,2018-08-18,18,August,2018,Pakistan,Political,Islamabad,"Marks the first time a former cricketer transitioned to the Prime Minister, promising reform.",Pakistani citizens,Pakistan TehreekUnknowneUnknownInsaf (PTI),Positive
102,Abolition of FATA,5,2018-05-31,31,May,2018,Pakistan,Administrative,Federally Administered Tribal Areas,"Integrated the tribal regions into the Khyber Pakhtunkhwa province, aiming to mainstream the governance.",Residents of FATA,Government of Pakistan,Positive
259,Skripal Poisoning Incident,3,2018-03-04,4,March,2018,Russia,International Incident,"Salisbury, UK","Led to a diplomatic crisis between Russia and Western countries, with accusations of Russian involvement.","Skripal family, UK citizens",Russian government (alleged),Negative
432,2018 InterUnknownKorean Summit,4,2018-04-27,27,April,2018,South Korea,Diplomatic,Panmunjom,"Leaders of North and South Korea met for talks, renewing hopes for peace and denuclearization on the peninsula.",Koreans,"Moon JaeUnknownin, Kim JongUnknownun",Positive
510,Women Allowed to Drive,6,2018-06-24,24,June,2018,Saudi Arabia,Social Reform,Unknown,"Ended the world's only ban on female drivers, part of broader social reforms to improve women's rights.",Saudi women,Mohammed bin Salman,Positive
513,Khashoggi Assassination,10,2018-10-02,2,October,2018,Saudi Arabia,Diplomatic Incident,"Istanbul, Turkey",The murder of journalist Jamal Khashoggi in the Saudi consulate led to international outcry and strained relations.,International community,Saudi Government,Negative
630,Political Crisis and State of Emergency,2,Unknown,Unknown,February,2018,Maldives,Political Crisis,Malé,Political tensions leading to a state of emergency and concerns over democracy.,Maldivian citizens,Abdulla Yameen,Negative
632,US Withdrawal from the JCPOA,5,2018-05-08,8,May,2018,Iran,Diplomatic Event,Iran,"US withdrawal from the nuclear deal, leading to heightened tensions and economic sanctions.",Iranian citizens,Donald Trump,Negative
637,Presidential Election Victory of Ibrahim Solih,9,2018-09-23,23,September,2018,Maldives,Electoral Victory,Maldives,Marked a significant shift in the political landscape towards democratic reform.,Maldivian citizens,Ibrahim Mohamed Solih,Positive
638,Pakatan Harapan Electoral Victory,5,2018-05-09,9,May,2018,Malaysia,General Election,Malaysia,"The opposition coalition's victory, ending six decades of UMNOUnknownled government rule.",Malaysian citizens,Mahathir Mohamad,Positive
654,Tham Luang Cave Rescue,6,2018-06-23,23,June,2018,Thailand,Rescue Operation,Tham Luang Cave,"A youth football team and their coach were trapped in a cave for 18 days, global rescue effort.",12 boys and their coach,"Divers, pumps, and rescue equipment",Positive
740,Cannabis Legalization,10,2018-10-17,17,October,2018,Canada,Legislative,Nationwide,Canada became the second country to legalize the recreational use of cannabis.,Canadian adults,Justin Trudeau,Positive
840,Yellow Vest Protests,11,2018-11-17,17,November,2018,France,Protests,Various,Nationwide protests against fuel taxes and economic inequality,French population,Protesters,Mixed
841,France Wins the 2018 FIFA World Cup,7,2018-07-15,15,July,2018,France,Sport,Moscow,Second World Cup win boosting national pride,French population,French national football team,Positive
914,Women's Rights March,3,2018-03-08,8,March,2018,Spain,Social Movement,Nationwide,Largest feminist demonstration in Spanish history,"Spanish population, especially women",Women's rights organizations,Positive
920,NoUnknownConfidence Vote Against Rajoy,6,2018-06-01,1,June,2018,Spain,Political,Spain,"Led to the fall of Rajoy's government, Pedro Sánchez becomes Prime Minister",Spanish population,Spanish Parliament,Mixed
1053,Appointment of Abiy Ahmed,4,2018-04-02,2,April,2018,Ethiopia,Political,Ethiopia,Led to significant political reforms and a peace agreement with Eritrea.,Ethiopians,Abiy Ahmed,Positive
1054,Sudanese Revolution,12,2018-12-19,19,December,2018,Sudan,Revolution,Sudan,"Overthrow of President Omar alUnknownBashir, leading to transitional government.",Sudanese,"Sudanese protestors, military",Positive
1134,Economic Crisis and IMF Loan,Invalid,Unknown,Unknown,Unknown,2018,Argentina,Economic,Argentina,Severe economic crisis leading to the largest IMF loan in history,Argentinians,"Mauricio Macri, IMF",Negative
35,Article 370 Revocation for Jammu & Kashmir,8,2019-08-05,5,August,2019,India,Political,Jammu & Kashmir,Changed the special status and autonomy of J&K,Residents of J&K,Government of India,Mixed
36,Supreme Court Verdict on Ayodhya,11,2019-11-09,9,November,2019,India,Judiciary,Ayodhya,Paved the way for the construction of a Ram Temple,Hindu and Muslim communities,Supreme Court of India,Mixed
39,Triple Talaq Bill Passed,7,2019-07-30,30,July,2019,India,Legislation,India,Made instant triple talaq a criminal offence,Muslim women,Parliament of India,Positive
49,Abolition of Instant Triple Talaq,7,2019-07-30,30,July,2019,India,Legal,Nationwide,Protected Muslim women's rights by making instant triple talaq illegal,Muslim women,Parliament of India,Positive
54,Pulwama Terrorist Attack,2,2019-02-14,14,February,2019,India,Terrorism,"Pulwama, Jammu and Kashmir",Led to a significant military and diplomatic standoff between India and Pakistan,Indian security forces,JaishUnknowneUnknownMohammed,Negative
57,Citizenship Amendment Act (CAA) Implementation,12,2019-12-12,12,December,2019,India,Legislation,Nationwide,Led to widespread protests due to concerns over citizenship criteria based on religion,Indian citizens,Government of India,Mixed
99,Kartarpur Corridor Opening,11,2019-11-09,9,November,2019,Pakistan,Diplomatic/Religious,Kartarpur,"A border corridor between Pakistan and India, allowing Sikh pilgrims visaUnknownfree access to a holy site.",Sikh community,Governments of Pakistan and India,Positive
103,2019 Pulwama Attack and IndiaUnknownPakistan Standoff,2,2019-02-14,14,February,2019,Pakistan,Military/Political,"Pulwama, India","Led to heightened military tensions between India and Pakistan, including crossUnknownborder air strikes.",Citizens of India and Pakistan,"JaishUnknowneUnknownMohammed, Governments of India and Pakistan",Negative
138,2019 Easter Bombings,4,2019-04-21,21,April,2019,Sri Lanka,Terrorism,"Colombo, others",A series of coordinated terrorist suicide bombings targeting churches and hotels.,"Christians, tourists",National Thowheeth Jama'ath,Negative
307,Emperor Akihito's Abdication,4,2019-04-30,30,April,2019,Japan,Historical,Tokyo,"Marked the first abdication of a Japanese emperor in over two centuries, leading to the Reiwa era.",Japanese population,Emperor Akihito,Positive
309,Reiwa Era Begins,5,2019-05-01,1,May,2019,Japan,Era Change,Japan,"The ascension of Emperor Naruhito marked the beginning of the Reiwa era, symbolizing harmony and peace.",Japanese population,Emperor Naruhito,Positive
633,Protests Against Corruption and Unemployment,10,Unknown,Unknown,October,2019,Iraq,Civil Unrest,Baghdad,Nationwide protests demanding political reform and action against corruption.,Iraqi citizens,Protesters,Negative
634,Presidential Transition,3,2019-03-19,19,March,2019,Kazakhstan,Political Change,NurUnknownSultan,"Nursultan Nazarbayev resigns after decades in power, KassymUnknownJomart Tokayev becomes president.",Kazakh citizens,"Nursultan Nazarbayev, KassymUnknownJomart Tokayev",Mixed
839,NotreUnknownDame de Paris Fire,4,2019-04-15,15,April,2019,France,Disaster,Paris,Destruction and damage to a historic landmark,Global and French population,Unknown,Negative
915,Exhumation of Francisco Franco,10,2019-10-24,24,October,2019,Spain,Historical Reconciliation,Valle de los Caídos,Addressed historical memory issues,Spanish population,Spanish Government,Positive
1055,Hirak Protest Movement,2,2019-02-22,22,February,2019,Algeria,Protest Movement,Algeria,Led to the resignation of President Abdelaziz Bouteflika after 20 years in power.,Algerians,Algerian protestors,Positive
1058,Nairobi's DusitD2 Complex Attack,1,2019-01-15,15,January,2019,Kenya,Terrorism,"Nairobi, Kenya",Highlighted the ongoing threat of terrorism in East Africa.,Kenyans,AlUnknownShabaab,Negative
1059,Cyclone Idai,3,2019-03-14,14,March,2019,Mozambique,Natural Disaster,"Mozambique, Zimbabwe, Malawi","One of the worst tropical cyclones on record in Africa, causing widespread destruction.","Mozambicans, Zimbabweans, Malawians",Climate,Negative
1085,Amazon Rainforest Wildfires,8,Unknown,Unknown,August,2019,Brazil,Environmental,Amazon Rainforest,International attention on Brazil's environmental policies and conservation efforts,Global and local environment,Various stakeholders,Negative
1086,Bolsonaro Presidency Begins,1,2019-01-01,1,January,2019,Brazil,Political,Brazil,Marked by controversial environmental policies and conservative agenda,Brazilian population,Jair Bolsonaro,Mixed
23,Ram Mandir Bhoomi Pujan,8,2020-08-05,5,August,2020,India,Cultural/Religious,Ayodhya,Beginning of the construction of Ram Temple at disputed site,Hindu community,"Government of India, Hindu activists",Positive
40,India's First Transgender University,1,Unknown,Unknown,January,2020,India,Education,Uttar Pradesh,Empowered the transgender community through education,Transgender community,Dr. Akhilesh Das Gupta Foundation,Positive
41,Nationwide Lockdown due to COVIDUnknown19,3,2020-03-24,24,March,2020,India,Public Health,India,Aimed to prevent the spread of COVIDUnknown19; significant economic impact,Entire population,Government of India,Negative
50,Asiatic Lion Census Showing Population Increase,5,Unknown,Unknown,May,2020,India,Wildlife Conservation,Gujarat,"Indicated successful conservation efforts, with an increase in the Asiatic lion population",Asiatic lions,"Wildlife Conservationists, Government of Gujarat",Positive
208,Chang'eUnknown5 Moon Mission Success,12,2020-12-01,1,December,2020,China,Space Exploration,Moon,"Successfully returned lunar samples to Earth, marking a significant achievement in China's space exploration.",Global scientific community,China National Space Administration,Positive
209,Comprehensive Agreement on Investment with the EU,12,2020-12-30,30,December,2020,China,International Economic Agreement,Brussels,"Aimed to increase investment opportunities between China and the European Union, enhancing economic ties.",EU and Chinese investors,"European Union, Chinese government",Positive
308,2020 Tokyo Olympics Postponement,3,2020-03-24,24,March,2020,Japan,International Sports Event,Tokyo,The Olympics were postponed for the first time in history due to the COVIDUnknown19 pandemic.,"Global audience, athletes","International Olympic Committee, Japanese government",Mixed
454,COVIDUnknown19 Pandemic Response,Invalid,Unknown,Unknown,Unknown,2020,Vietnam,Health Crisis,Vietnam,Vietnam's effective early response to the COVIDUnknown19 pandemic was internationally praised for its efficiency.,Vietnamese people,Vietnamese Government,Positive
515,G20 Summit Hosted in Riyadh,11,2020-11-21,21,November,2020,Saudi Arabia,International Summit,Riyadh,"Hosting the G20 marked Saudi Arabia's prominence on the global stage, despite controversies and criticisms.","Global leaders, Saudi citizens",Saudi Government,Mixed
636,Decriminalization of Homosexuality,12,2020-12-17,17,December,2020,Bhutan,Legal Reform,Bhutan,Amendment of the penal code to decriminalize sameUnknownsex relationships.,Bhutanese citizens,Bhutanese Parliament,Positive
677,George Floyd Protests and Derek Chauvin Trial,Invalid,Unknown,             ,Unknown,2020,USA,Social Movement/Legal,Nationwide,Nationwide protests against racial injustice; Derek Chauvin's trial and conviction.,"Black community, citizens","Activists, legal system",Mixed
793,COVIDUnknown19 Pandemic in the UK,Invalid,Unknown,March,Unknown,2020,UK,Health,London and nationwide,Significant impact on public health and economy,British population,UK Government,Negative
809,UK Authorizes COVIDUnknown19 Vaccine,12,2020-12-02,2,December,2020,UK,Health,UK,First country to authorize a COVIDUnknown19 vaccine for emergency use,British and global populations,UK Government,Positive
1060,Tigray Conflict Begins,11,2020-11-04,4,November,2020,Ethiopia,Conflict,"Tigray, Ethiopia","Conflict between Ethiopian government forces and TPLF, leading to humanitarian crisis.",Ethiopians,"Ethiopian Government, TPLF",Negative
1061,#EndSARS Protests,10,2020-10-08,8,October,2020,Nigeria,Protest Movement,Nigeria,Nationwide protests against police brutality and corruption.,Nigerians,"Nigerian Youth, Various Activists",Mixed
1062,Juba Peace Agreement,10,2020-10-03,3,October,2020,Sudan,Peace Agreement,"Juba, South Sudan","Aimed at ending conflicts in Darfur, South Kordofan, and Blue Nile states.",Sudanese,"Sudanese Transitional Government, Rebel Groups",Positive
1137,Legalization of Abortion,12,Unknown,Unknown,December,2020,Argentina,Legal,Argentina,Legalization of abortion up to the 14th week of pregnancy,Argentinians,Argentine Legislature,Positive
663,First Mars Helicopter Flight,4,2021-04-19,19,April,2021,USA,Space Exploration,Mars,Ingenuity helicopter made the first powered flight on another planet.,Global population,NASA,Positive
676,Capitol Riot,1,2021-01-06,6,January,2021,USA,Political,Washington D.C.,"Violent attack on the US Capitol, leading to concerns about democracy.",American citizens,"Proponents of false claims, law enforcement",Negative
678,Paris Agreement Rejoining,1,2021-01-20,20,January,2021,USA,Environmental,International,"Rejoined the Paris Agreement, signaling renewed commitment to climate action.",Global community,"Joe Biden, International leaders",Positive
690,January 6 Capitol Attack,1,2021-01-06,6,January,2021,USA,Domestic Terrorism,Washington D.C.,"Attempt to overturn the 2020 presidential election results, challenging democratic norms.",American public,"ProUnknownTrump rioters, U.S. Congress",Negative
691,Withdrawal from Afghanistan,8,2021-08-30,30,August,2021,USA,Military,Afghanistan,"Ended America's longest war, resulting in rapid Taliban takeover.","Afghan citizens, U.S. military","U.S. Government, Taliban",Negative
692,First Woman Vice President Elected,1,2021-01-20,20,January,2021,USA,Political,Nationwide,"Kamala Harris becomes the first female, first Black, and first Asian American vice president.",American citizens,"Kamala Harris, American voters",Positive
694,Launch of James Webb Space Telescope,12,2021-12-25,25,December,2021,USA,Space Exploration,Space,"Advanced space observatory to study the universe, successor to Hubble.",Global community,"NASA, ESA, CSA",Positive
794,Prince Philip's Death,4,2021-04-09,9,April,2021,UK,Royal Event,Windsor,Marked the end of an era in the British monarchy,British population,Royal Family,Negative
1063,2021 General Elections,1,2021-01-14,14,January,2021,Uganda,Election,Uganda,"Marked by allegations of fraud and violence, Yoweri Museveni reUnknownelected.",Ugandans,"Yoweri Museveni, Bobi Wine",Mixed
1064,Death of President Idriss Déby,4,2021-04-20,20,April,2021,Chad,Military,Chad,"Died from injuries sustained in clashes with rebels, leading to political uncertainty.",Chadians,"Idriss Déby, FACT Rebels",Negative
22,Launch of 5G Services,10,Unknown,Unknown,October,2022,India,Technology,India,Introduction of 5G technology expected to revolutionize connectivity,"Indian consumers, businesses","Telecom companies, Government of India",Positive
693,Supreme Court Overturns Roe v. Wade,6,2022-06-24,24,June,2022,USA,Judicial,Nationwide,"Ended federal protection for abortion rights, leaving regulation to states.",Women nationwide,U.S. Supreme Court,Negative
